"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIAllergy","AllergyIntolerance.clinicalStatus","AllergyIntolerance.clinicalStatus","","","",0,1,"Y","Y","Y","CodeableConcept {[]} {[]}
","active | inactive | resolved","The clinical status of the allergy or intolerance.","Refer to [discussion](http://hl7.org/fhir/R4/extensibility.html#Special-Case) if clincalStatus is missing data.
The data type is CodeableConcept because clinicalStatus has some clinical judgment involved, such that there might need to be more specificity than the required FHIR value set allows. For example, a SNOMED coding might allow for additional specificity.","","","","","","","","",,"required","The clinical status of the allergy or intolerance.","http://hl7.org/fhir/ValueSet/allergyintolerance-clinical|4.0.1","",,,,"AllergyIntolerance.clinicalStatus",0,1,"ait-1
ait-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.verificationStatus","AllergyIntolerance.verificationStatus","","","",0,1,"Y","Y","Y","CodeableConcept {[]} {[]}
","unconfirmed | confirmed | refuted | entered-in-error","Assertion about certainty associated with the propensity, or potential risk, of a reaction to the identified substance (including pharmaceutical product).","The data type is CodeableConcept because verificationStatus has some clinical judgment involved, such that there might need to be more specificity than the required FHIR value set allows. For example, a SNOMED coding might allow for additional specificity.","","","","","","","","",,"required","Assertion about certainty associated with a propensity, or potential risk, of a reaction to the identified substance.","http://hl7.org/fhir/ValueSet/allergyintolerance-verification|4.0.1","",,,,"AllergyIntolerance.verificationStatus",0,1,"ait-1
ait-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.type","AllergyIntolerance.type","","Category
Class","",0,1,"","","Y","code {[]} {[]}
","allergy | intolerance - Underlying mechanism (if known)","Identification of the underlying physiological mechanism for the reaction risk.","Allergic (typically immune-mediated) reactions have been traditionally regarded as an indicator for potential escalation to significant future risk. Contemporary knowledge suggests that some reactions previously thought to be immune-mediated are, in fact, non-immune, but in some cases can still pose a life threatening risk. It is acknowledged that many clinicians might not be in a position to distinguish the mechanism of a particular reaction. Often the term ""allergy"" is used rather generically and may overlap with the use of ""intolerance"" - in practice the boundaries between these two concepts might not be well-defined or understood. This data element is included nevertheless, because many legacy systems have captured this attribute. Immunologic testing may provide supporting evidence for the basis of the reaction and the causative substance, but no tests are 100% sensitive or specific for sensitivity to a particular substance. If, as is commonly the case, it is unclear whether the reaction is due to an allergy or an intolerance, then the type element should be omitted from the resource.","","","","","","","","",,"required","Identification of the underlying physiological mechanism for a Reaction Risk.","http://hl7.org/fhir/ValueSet/allergy-intolerance-type|4.0.1","",,,,"AllergyIntolerance.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.category","AllergyIntolerance.category","","Category
TypeReaction TypeClass","",1,*,"Y","","Y","code {[]} {[]}
","food | medication | environment | biologic","Category of the identified substance.","This data element has been included because it is currently being captured in some clinical systems. This data can be derived from the substance where coding systems are used, and is effectively redundant in that situation.  When searching on category, consider the implications of AllergyIntolerance resources without a category.  For example, when searching on category = medication, medication allergies that don't have a category valued will not be returned.  Refer to [search](http://hl7.org/fhir/R4/search.html) for more information on how to search category with a :missing modifier to get allergies that don't have a category.  Additionally, category should be used with caution because category can be subjective based on the sender.","","","","","","","","",,"required","Category of an identified substance associated with allergies or intolerances.","http://hl7.org/fhir/ValueSet/allergy-intolerance-category|4.0.1","",,,,"AllergyIntolerance.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.criticality","AllergyIntolerance.criticality","","Severity
SeriousnessContra-indicationRisk","",0,1,"Y","","Y","code {[]} {[]}
","low | high | unable-to-assess","Estimate of the potential clinical harm, or seriousness, of the reaction to the identified substance.","The default criticality value for any propensity to an adverse reaction should be 'Low Risk', indicating at the very least a relative contraindication to deliberate or voluntary exposure to the substance. 'High Risk' is flagged if the clinician has identified a propensity for a more serious or potentially life-threatening reaction, such as anaphylaxis, and implies an absolute contraindication to deliberate or voluntary exposure to the substance. If this element is missing, the criticality is unknown (though it may be known elsewhere).  Systems that capture a severity at the condition level are actually representing the concept of criticality whereas the severity documented at the reaction level is representing the true reaction severity.  Existing systems that are capturing both condition criticality and reaction severity may use the term ""severity"" to represent both.  Criticality is the worst it could be in the future (i.e. situation-agnostic) whereas severity is situation-dependent.","","","","","","","","",,"required","Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality|4.0.1","",,,,"AllergyIntolerance.criticality",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.code","AllergyIntolerance.code","","Code
","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Code that identifies the allergy or intolerance","Code for an allergy or intolerance statement (either a positive or a negated/excluded statement).  This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., ""Latex""), an allergy or intolerance condition (e.g., ""Latex allergy""), or a negated/excluded code for a specific substance or class (e.g., ""No latex allergy"") or a general or categorical negated statement (e.g.,  ""No known allergy"", ""No known drug allergies"").  Note: the substance for a specific reaction may be different from the substance identified as the cause of the risk, but it must be consistent with it. For instance, it may be a more specific substance (e.g. a brand medication) or a composite product that includes the identified substance. It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.  If a receiving system is unable to confirm that AllergyIntolerance.reaction.substance falls within the semantic scope of AllergyIntolerance.code, then the receiving system should ignore AllergyIntolerance.reaction.substance.","It is strongly recommended that this element be populated using a terminology, where possible. For example, some terminologies used include RxNorm, SNOMED CT, DM+D, NDFRT, ICD-9, IDC-10, UNII, and ATC. Plain text should only be used if there is no appropriate terminology available. Additional details can be specified in the text.When a substance or product code is specified for the 'code' element, the ""default"" semantic context is that this is a positive statement of an allergy or intolerance (depending on the value of the 'type' element, if present) condition to the specified substance/product.  In the corresponding SNOMED CT allergy model, the specified substance/product is the target (destination) of the ""Causative agent"" relationship.The 'substanceExposureRisk' extension is available as a structured and more flexible alternative to the 'code' element for making positive or negative allergy or intolerance statements.  This extension provides the capability to make ""no known allergy"" (or ""no risk of adverse reaction"") statements regarding any coded substance/product (including cases when a pre-coordinated ""no allergy to x"" concept for that substance/product does not exist).  If the 'substanceExposureRisk' extension is present, the AllergyIntolerance.code element SHALL be omitted.","","","","","","","","",,"extensible","","https://healthterminologies.gov.au/fhir/ValueSet/indicator-hypersensitivity-intolerance-to-substance-2","",,,,"AllergyIntolerance.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.patient","AllergyIntolerance.patient","","Patient
","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[https://healthinfoservices.site/template-fhir-ig/StructureDefinition/HIPatient]]}
","Who the sensitivity is for","The patient who has the allergy or intolerance.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.encounter","AllergyIntolerance.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter when the allergy or intolerance was asserted","The encounter when the allergy or intolerance was asserted.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.onset[x]","AllergyIntolerance.onset[x]","","","",0,1,"Y","","","dateTime {[]} {[]}
Age {[]} {[]}Period {[]} {[]}Range {[]} {[]}","When allergy or intolerance was identified","Estimated or actual date,  date-time, or age when allergy or intolerance was identified.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.onset[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.recordedDate","AllergyIntolerance.recordedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date first version of the resource instance was recorded","The recordedDate represents when this particular AllergyIntolerance record was created in the system, which is often a system-generated date.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.recordedDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.recorder","AllergyIntolerance.recorder","","Author
","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Who recorded the sensitivity","Individual who recorded the record and takes responsibility for its content.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.recorder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.asserter","AllergyIntolerance.asserter","","Source
Informant","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Source of the information about the allergy","The source of the information about the allergy that is recorded.","The recorder takes responsibility for the content, but can reference the source from where they got it.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.asserter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.lastOccurrence","AllergyIntolerance.lastOccurrence","","","",0,1,"","","","dateTime {[]} {[]}
","Date(/time) of last known occurrence of a reaction","Represents the date and/or time of the last known occurrence of a reaction event.","This date may be replicated by one of the Onset of Reaction dates. Where a textual representation of the date of last occurrence is required e.g. 'In Childhood, '10 years ago' the Comment element should be used.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.lastOccurrence",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.note","AllergyIntolerance.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional text not captured in other fields","Additional narrative about the propensity for the Adverse Reaction, not captured in other fields.","For example: including reason for flagging a seriousness of 'High Risk'; and instructions related to future exposure or administration of the substance, such as administration within an Intensive Care Unit or under corticosteroid cover. The notes should be related to an allergy or intolerance as a condition in general and not related to any particular episode of it. For episode notes and descriptions, use AllergyIntolerance.event.description and  AllergyIntolerance.event.notes.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction","AllergyIntolerance.reaction","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","Adverse Reaction Events linked to exposure to substance","Details about each adverse reaction event linked to exposure to the identified substance.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.reaction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.id","AllergyIntolerance.reaction.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HIAllergy","AllergyIntolerance.reaction.extension","AllergyIntolerance.reaction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HIAllergy","AllergyIntolerance.reaction.modifierExtension","AllergyIntolerance.reaction.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HIAllergy","AllergyIntolerance.reaction.substance","AllergyIntolerance.reaction.substance","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Specific substance or pharmaceutical product considered to be responsible for event","Identification of the specific substance (or pharmaceutical product) considered to be responsible for the Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified as the cause of the risk, but it must be consistent with it. For instance, it may be a more specific substance (e.g. a brand medication) or a composite product that includes the identified substance. It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.  If a receiving system is unable to confirm that AllergyIntolerance.reaction.substance falls within the semantic scope of AllergyIntolerance.code, then the receiving system should ignore AllergyIntolerance.reaction.substance.","Coding of the specific substance (or pharmaceutical product) with a terminology capable of triggering decision support should be used wherever possible.  The 'code' element allows for the use of a specific substance or pharmaceutical product, or a group or class of substances. In the case of an allergy or intolerance to a class of substances, (for example, ""penicillins""), the 'reaction.substance' element could be used to code the specific substance that was identified as having caused the reaction (for example, ""amoxycillin""). Duplication of the value in the 'code' and 'reaction.substance' elements is acceptable when a specific substance has been recorded in 'code'.","","","","","","","","",,"preferred","","https://healthterminologies.gov.au/fhir/ValueSet/adverse-reaction-agent-1","",,,,"AllergyIntolerance.reaction.substance",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.manifestation","AllergyIntolerance.reaction.manifestation","","Symptoms
Signs","",1,*,"Y","","","CodeableConcept {[]} {[]}
","Clinical symptoms/signs associated with the Event","Clinical symptoms and/or signs that are observed or associated with the adverse reaction event.","Manifestation can be expressed as a single word, phrase or brief description. For example: nausea, rash or no reaction. It is preferable that manifestation should be coded with a terminology, where possible. The values entered here may be used to display on an application screen as part of a list of adverse reactions, as recommended in the UK NHS CUI guidelines.  Terminologies commonly used include, but are not limited to, SNOMED CT or ICD10.","","","","","","","","",,"preferred","","https://healthterminologies.gov.au/fhir/ValueSet/clinical-finding-1","",,,,"AllergyIntolerance.reaction.manifestation",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.description","AllergyIntolerance.reaction.description","","Narrative
Text","",0,1,"","","","string {[]} {[]}
","Description of the event as a whole","Text description about the reaction as a whole, including details of the manifestation if required.","Use the description to provide any details of a particular event of the occurred reaction such as circumstances, reaction specifics, what happened before/after. Information, related to the event, but not describing a particular care should be captured in the comment field. For example: at the age of four, the patient was given penicillin for strep throat and subsequently developed severe hives.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.reaction.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.onset","AllergyIntolerance.reaction.onset","","","",0,1,"","","","dateTime {[]} {[]}
","Date(/time) when manifestations showed","Record of the date and/or time of the onset of the Reaction.","","","","","","","","","",,,,,"",,,,"AllergyIntolerance.reaction.onset",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.severity","AllergyIntolerance.reaction.severity","","","",0,1,"Y","","","code {[]} {[]}
","mild | moderate | severe (of event as a whole)","Clinical assessment of the severity of the reaction event as a whole, potentially considering multiple different manifestations.","It is acknowledged that this assessment is very subjective. There may be some specific practice domains where objective scales have been applied. Objective scales can be included in this model as extensions.","","","","","","","","",,"required","Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","http://hl7.org/fhir/ValueSet/reaction-event-severity|4.0.1","",,,,"AllergyIntolerance.reaction.severity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.exposureRoute","AllergyIntolerance.reaction.exposureRoute","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How the subject was exposed to the substance","Identification of the route by which the subject was exposed to the substance.","Coding of the route of exposure with a terminology should be used wherever possible.","","","","","","","","",,"preferred","","https://healthterminologies.gov.au/fhir/ValueSet/route-of-administration-1","",,,,"AllergyIntolerance.reaction.exposureRoute",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIAllergy","AllergyIntolerance.reaction.note","AllergyIntolerance.reaction.note","","","",0,*,"","","","Annotation {[]} {[]}
","Text about event not captured in other fields","Additional text about the adverse reaction event not captured in other fields.","Use this field to record information indirectly related to a particular event and not captured in the description. For example: Clinical records are no longer available, recorded based on information provided to the patient by her mother and her mother is deceased.","","","","","","","","",,,,,"",,,,"AllergyIntolerance.reaction.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
